iso3c,country,SP.POP.TOTL,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,asalariados,patrones,tcp,familiares,rel_salariales,rel_no_salariales
DNK,Denmark,5544234.090909091,2.6637272834777845,21.03081807223233,76.30554546009411,90.99845470081675,3.69254545731978,4.913727284832435,0.39527273042635436,94.69100015813653,5.309000015258789
DOM,Dominican Republic,9693085.454545455,12.203636256131254,19.604181983254165,68.19218098033558,54.03463641079989,4.080818154595114,39.787272691726685,2.0972727428783102,58.115454565395005,41.884545434604995
DZA,Algeria,36166983.36363637,13.013545469804246,29.42909102006393,57.55745419588956,67.41036501797765,4.231727253306995,25.337182543494485,3.0207272659648545,71.64209227128465,28.35790980945934
ECU,Ecuador,15008398.636363637,27.89363653009589,18.641363664106883,53.46518117731268,54.53290904651988,4.418000004508278,31.150545510378755,9.89854543859309,58.95090905102816,41.049090948971845
EGY,"Egypt, Arab Rep.",83307709.18181819,29.226363442160874,23.623454700816755,47.150272369384766,61.03409056230026,14.248454527421437,12.444909442554835,12.272545467723479,75.2825450897217,24.717454910278313
ERI,Eritrea,3044072.285714286,64.25827234441584,9.245999943126336,26.49536375565963,12.355545477433637,0.48309091004458354,47.54572774063459,39.61563630537552,12.838636387478221,87.1613640460101
ESP,Spain,45930248.81818182,4.3609090284867715,24.091545451771136,71.54754569313742,82.66127222234552,5.284545464949174,11.142272694544355,0.9119090979749522,87.94581768729469,12.054181792519307
EST,Estonia,1331220.8181818181,4.3758181875402284,32.217363530939274,63.4067268371582,91.31836284290661,3.4380908879366783,4.991545403545555,0.2519999986345116,94.75645373084329,5.243545402180066
ETH,Ethiopia,88043851.9090909,73.83654507723723,8.055454644289885,18.108182040127854,10.589363791725852,0.5824545405127787,47.58200052651493,41.246181834827766,11.17181833223863,88.8281823613427
FIN,Finland,5363542.181818182,4.420181794600055,23.803272767500445,71.77672784978694,86.67963548140092,4.045999960465864,8.762818241661257,0.5115454494953156,90.72563544186679,9.274363691156573
FJI,Fiji,852153.2727272727,43.29136345603251,14.117909084666863,42.59090909090909,56.1164543845437,1.1433636058460572,24.103363817388356,18.636818192221902,57.259817990389756,42.74018200961026
FRA,France,64980736.63636363,3.08127271045338,22.293090993707835,74.6253634366122,88.7478193803267,4.399818073619496,6.253272731195802,0.5989999960769303,93.1476374539462,6.852272727272732
GAB,Gabon,1644341.6363636365,37.12218232588333,10.230909174138842,52.646727128462366,64.97699980302292,2.2786363580010156,31.422999512065537,1.32136363332922,67.25563616102393,32.74436314539476
GBR,United Kingdom,62747812.18181818,1.214545445008711,20.183727091008983,78.60163601962003,85.98572678999469,2.679545424201271,10.994090727784412,0.3406363644383177,88.66527221419595,11.33472709222273
GEO,Georgia,3794564.5454545454,49.555545806884766,10.411272742531507,40.03318197076972,40.375454642555944,1.2583636316386122,34.00436306541615,24.36181831359864,41.63381827419455,58.36618137901479
GHA,Ghana,24794318.636363637,48.59854611483486,14.591363560069672,36.809999639337725,20.84363642605868,5.234727209264581,62.00481835278598,11.916818185286097,26.07836363532326,73.92163653807208
GIN,Guinea,10216270.909090908,67.24672837690875,5.399545452811503,27.353909405795,7.585181713104246,1.9793636582114482,58.29809089140459,32.137363954023876,9.564545371315695,90.43545484542847
GMB,"Gambia, The",1802233.1818181819,31.433636405251235,16.087999777360398,52.47809011285956,25.173363945700917,1.4590909155932337,60.382272384383484,12.98527258092706,26.63245486129415,73.36754496531054
GNB,Guinea-Bissau,1530306.9090909092,71.00418160178445,7.133545485409823,21.862181923606165,21.465181697498664,1.3700000264427863,52.209909558296204,24.95490889115767,22.83518172394145,77.16481844945388
GNQ,Equatorial Guinea,949736.0909090909,42.333908774636015,21.883818019520163,35.78236354481089,13.307181791825727,9.064636490561746,67.94308965856376,9.685090845281422,22.371818282387473,77.62818050384519
GRC,Greece,11017342.272727273,12.360363613475455,19.045545491305262,68.59418071400036,64.17927273837003,7.541090835224498,22.729545506564058,5.55009091984142,71.72036357359453,28.279636426405478
GTM,Guatemala,14648868.909090908,32.77072698419744,20.976908943869862,46.25254509665749,54.319909182461835,3.229090950705789,30.67263637889514,11.778363487937241,57.549000133167624,42.45099986683238
GUM,Guam,159687.9090909091,0.3246363699436187,14.770727244290436,84.90463672984731,87.45745433460583,3.3255454626950347,8.540454588153155,0.6765454411506653,90.78299979730086,9.21700002930382
GUY,Guyana,752770.4545454546,20.305908896706327,23.643818421797327,56.0500911365856,65.90263574773617,6.203545440327037,22.676818414167926,5.2170909101312795,72.1061811880632,27.893909324299205
HKG,"Hong Kong SAR, China",7042072.7272727275,0.22036363726312455,13.140909108248627,86.63890907981178,89.40218145197088,3.64036360653964,6.480727236379275,0.47672727162187734,93.04254505851051,6.9574545080011525
HND,Honduras,8303580.818181818,33.93809093128551,21.128181630914874,44.933818123557344,47.2530912919478,12.04972726648503,31.48554498499091,9.211636456576272,59.302818558432826,40.69718144156718
HRV,Croatia,4280699.636363637,12.788181825117617,28.46490912003949,58.74699922041461,79.71663665771484,4.931090875105424,13.146636290983716,2.205636349591341,84.64772753282027,15.352272640575057
HTI,Haiti,9947802,32.997363177212804,6.956454580480402,60.046182459050975,25.077727404507726,0.7410000129179521,50.58663687922739,23.594636223532937,25.818727417425677,74.18127310276033
HUN,Hungary,9979067.545454545,4.725727341391822,31.159363833340738,64.1150911504572,87.91154549338603,5.315909082239324,6.389000144871805,0.38354545289819875,93.22745457562536,6.772545597770003
IDN,Indonesia,242072163.45454547,38.49299968372692,19.728090633045547,41.77890916304155,42.0167271007191,3.186090924523093,38.02854544466192,16.768636530095883,45.202818025242195,54.797181974757805
IND,India,1231968825,50.49927243319424,22.173999959772292,27.32672726024281,17.82909107208252,1.4295454567128956,64.35918221690439,16.382181861183867,19.258636528795414,80.74136407808825
IRL,Ireland,4507331.909090909,5.6141817352988515,20.858363585038617,73.52754558216442,83.1846362027255,5.100363601337782,10.932182013988488,0.7828181819482296,88.28499980406328,11.715000195936717
IRN,"Iran, Islamic Rep.",73916024.63636364,20.32163654674183,32.35381819985129,47.32454508001155,54.36827295476741,4.413818142630834,33.564454338767305,7.653454563834444,58.78209109739825,41.21790890260175
IRQ,Iraq,30467192.09090909,21.90590893138539,21.81745459816672,56.27681801535866,70.24009219082919,3.39381818337874,20.077545534480706,6.28854547847401,73.63391037420793,26.366091012954715
ISL,Iceland,317066.45454545453,5.276818188753994,19.615181836214937,75.10827220569958,86.82899960604583,4.328181830319492,8.403091029687346,0.4397272738543432,91.15718143636532,8.842818303541689
ISR,Israel,7628500,1.3949090892618372,19.41009087996051,79.19518210671166,88.12527257745917,4.15754543651234,7.519727265292959,0.19745454734021983,92.28281801397151,7.717181812633179
ITA,Italy,59311283.81818182,3.81536362387917,28.630272951993074,67.55445445667614,74.65845489501953,6.828636342828925,16.910454544154067,1.6024545647881254,81.48709123784846,18.512909108942193
JAM,Jamaica,2813067,18.094636396928273,16.235454472628508,65.66981887817383,60.58563648570667,3.162727247584952,35.16654535857114,1.0850909081372322,63.748363733291626,36.251636266708374
JOR,Jordan,7380434.454545454,3.5750000043348846,26.1236360723322,70.30108989368784,84.90472758900036,5.779181783849544,8.768000066280365,0.5480909076603986,90.6839093728499,9.316090973940764
JPN,Japan,127739272.72727273,4.053000016645952,26.187091133811265,69.7598183371804,87.21945398504083,2.4223636497150762,7.134181694550944,3.2239999771118155,89.64181763475591,10.35818167166276
KAZ,Kazakhstan,16294902.727272727,27.070272619074036,19.150090651078663,53.77954587069424,67.74018235640094,1.7316363724795265,29.845272700894963,0.682909090410579,69.47181872888046,30.528181791305542
KEN,Kenya,42120380.18181818,59.861454356800415,6.455181858756324,33.68336348100144,38.72209115461868,1.0299999984827928,41.28009067340331,18.967818346890546,39.752091153101475,60.247909020293854
KGZ,Kyrgyz Republic,5493918.181818182,32.93890901045367,20.415090907703764,46.64599990844727,58.0248180736195,1.060818189924414,29.691181751814756,11.223181984641332,59.08563626354391,40.91436373645609
KHM,Cambodia,14351347.545454545,54.67154520208188,17.36600008877841,27.962545394897482,31.09254542264072,0.21772726963866837,51.51645478470759,17.17327269640836,31.310272692279387,68.68972748111595
KOR,"Korea, Rep.",49595466.90909091,6.634636358781294,25.275454607876863,68.0897279219194,70.47127255526456,6.443272764032536,17.62154548818415,5.463909019123424,76.9145453192971,23.085454507307574
KWT,Kuwait,3016968.272727273,2.467454520138828,24.029181740500718,73.50354558771308,98.0409102006392,0.6706363612955265,1.1759090891467752,0.11254545431372476,98.71154656193472,1.2884545434605
LAO,Lao PDR,6245584.2727272725,71.58154435591265,8.305363568392664,20.113363612781857,15.556000102650046,0.4760909134691412,50.285908563570544,33.68200007351962,16.032091016119185,83.96790863709016
